str(conv.column_name),data_type,example_value,non_null_pct
cus_opt_out_flag,StringType(),"[""1"",""N"",""Y"",""0""]",99.69273465651656
cus_passport_num,StringType(),"[""elRWrjpE5I03PCfzkPe+9A=="",""wylnKE6PpG3KHMQHTlsyh3aGbs7G4tjzycl/qpUKhB8="",""+QcSbibyITVPIF9B/j7ePw=="",""Fwy5Y8qTh0+Gw+q1M/JBYg=="",""Hkpn17Wj5rssbdKDl/KTzatvSJxHPwNNFhmAC6vcD/0=""]",12.161679233328613
cus_salutation_name,StringType(),"[""MRSS"",""C"",""MISS"",""Ms"",""MR""]",87.51512762651132
cus_smoker_flag,StringType(),"[""C"",""N"",""S"",""U""]",86.3249784647116
cus_vip_flag,StringType(),"[""20"",""1"",""80"",""90"",""60""]",100
bu,StringType(),"[""HK""]",100
data_source,StringType(),"[""cdp""]",100
cutoff_date,DateType(),"[""java.util.GregorianCalendar[time=?,areFieldsSet=false,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Etc/UTC\"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=?,YEAR=2024,MONTH=10,WEEK_OF_YEAR=?,WEEK_OF_MONTH=?,DAY_OF_MONTH=21,DAY_OF_YEAR=?,DAY_OF_WEEK=?,DAY_OF_WEEK_IN_MONTH=?,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=?,ZONE_OFFSET=?,DST_OFFSET=?]""]",100
update_datetime,TimestampType(),"[""java.util.GregorianCalendar[time=?,areFieldsSet=false,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Etc/UTC\"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=?,YEAR=2024,MONTH=10,WEEK_OF_YEAR=?,WEEK_OF_MONTH=?,DAY_OF_MONTH=21,DAY_OF_YEAR=?,DAY_OF_WEEK=?,DAY_OF_WEEK_IN_MONTH=?,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=40,SECOND=27,MILLISECOND=511,ZONE_OFFSET=?,DST_OFFSET=?]""]",100
cus_gender_desc,StringType(),"[""unknown"",""female"",""coperate"",""male""]",98.17344463301299
cus_marital_status_desc,StringType(),"[""married"",""divorced"",""unknown"",""single"",""widowed""]",88.77402841700382
cus_occupation_desc,StringType(),"[""salesman_--_door_to_door_sales"",""librarian"",""projectionist_--_cinema"",""telephone_operator"",""fitness_instructor_--_health_club""]",20.643735007835367
